Date,1Y,2Y,3Y,4Y,6M,6M_1Y,2Y_6M,3Y_6M,4Y_6M,5Y,7Y,10Y,7Y_5Y,10Y_5Y
4/30/2010,111.8791,134.3374,149.1822,160.9544,102.5436,9.3355,31.7938,46.6386,58.4108,114.1813,131.5747,147.8969,17.3934,33.7156

3/31/2010,94.4617,121.7711,136.7345,147.5921,88.7323,5.7294,33.0388,48.0022,58.8598,132.2279,148.6606,166.3658,16.4327,34.1379

2/26/2010,156.4545,183.3209,196.0314,207.4188,154.8691,1.5854,28.4518,41.1623,52.5497,143.3786,162.3242,176.5718,18.9456,33.1932

1/29/2010,168.7935,184.7878,198.5896,207.5636,160.4698,8.3237,24.318,38.1198,47.0938,156.4949,173.1439,188.8962,16.649,32.4013

12/31/2009,119.7206,133.7246,145.9365,161.0507,113.0246,6.696,20.7,32.9119,48.0261,177.5361,184.841,197.3029,7.3049,19.7668

11/30/2009,156.588,174.641,187.643,206.545,159.095,-2.507,15.546,28.548,47.45,222.1987,231.1465,239.3992,8.9478,17.2005

10/30/2009,134.2369,142.5791,150.9215,167.3168,134.1861,0.0508,8.393,16.7354,33.1307,248.0683,256.3958,259.9684,8.3275,11.9001

9/30/2009,150.247,169.4137,181.7697,187.17,150.2657,-0.0187,19.148,31.504,36.9043,253.7763,265.7354,273.0214,11.9591,19.2451

8/31/2009,290.6366,285.1813,276.0249,271.8561,290.4431,0.1935,-5.2618,-14.4182,-18.587,271.0961,278.2981,283.5647,7.202,12.4686

7/31/2009,334.5706,315.5695,306.0247,293.9881,332.5574,2.0132,-16.9879,-26.5327,-38.5693,234.2354,244.4657,253.2899,10.2303,19.0545

6/30/2009,497.8811,474.3316,449.0531,438.3681,497.5899,0.2912,-23.2583,-48.5368,-59.2218,198.5167,208.5701,219.7659,10.0534,21.2492

5/29/2009,418.3642,387.1562,366.2516,354.736,417.9781,0.3861,-30.8219,-51.7265,-63.2421,219.5448,228.7278,234.4728,9.183,14.928

4/30/2009,799.7819,701.4149,645.4744,611.5934,757.9395,41.8424,-56.5246,-112.4651,-146.3461,229.5818,236.6013,241.255,7.0195,11.6732

3/31/2009,879.2235,768.3,691.9494,655.157,810,69.2235,-41.7,-118.0506,-154.843,285.4904,283.4433,286.037,-2.0471,0.5466

2/27/2009,589.4752,492.2147,439.4918,402.0247,552.5,36.9752,-60.2853,-113.0082,-150.4753,281.4917,292.455,294.2723,10.9633,12.7806

1/30/2009,441.65,361.081,328.7789,310.718,427.5,14.15,-66.419,-98.7211,-116.782,222.8901,216.3571,217.7806,-6.533,-5.1095

12/31/2008,237.079,223.639,205.759,195.099,235,2.079,-11.361,-29.241,-39.901,282.1725,305.8757,302.1815,23.7032,20.009

11/28/2008,294.661,282.912,262.615,250.107,287.5,7.161,-4.588,-24.885,-37.393,202.2595,203.0065,203.175,0.747,0.9155

10/31/2008,173.953,175.636,183.555,194.129,190,-16.047,-14.364,-6.445,4.129,150.8775,165.396,172.8469,14.5185,21.9694

9/30/2008,346.595,329.641,310.744,303.276,275,71.595,54.641,35.744,28.276,136.7564,156.3098,166.7209,19.5534,29.9645

8/29/2008,127.548,137.353,146.5874,160.313,117.3,10.248,20.053,29.2874,43.013,124.2499,142.6752,152.8425,18.4253,28.5926

7/31/2008,97.357,104.642,115.344,127.579,94.25,3.107,10.392,21.094,33.329,121.9517,137.8186,147.92,15.8669,25.9683

6/30/2008,97.367,106.624,115.6667,129.7108,97.25,0.117,9.374,18.4167,32.4608,124.9215,139.7945,148.927,14.873,24.0055

4/30/2008,71.8532,,78.6806,,,,,,,133.1557,146.3395,156.7828,13.1838,23.6271

3/31/2008,108.776,,158.4649,,,,,,,140.1402,149.9318,157.0318,9.7916,16.8916

2/29/2008,95.1802,72.0297,119.0415,85.4433,,,,,,148.8604,151.027,154.0218,2.1666,5.1614

1/31/2008,54.8208,61.5572,68.3949,74.2628,,,,,,178.6202,176.1119,178.5118,-2.5083,-0.1084

12/31/2007,45.4086,,47.9416,,,,,,,148.8815,148.4893,149.3777,-0.3922,0.4962

11/30/2007,25.0441,56.5635,44.8791,79.3985,,,,,,174.9114,178.1642,180.0957,3.2528,5.1843

10/31/2007,25.2299,27.5455,45.7826,42.3425,,,,,,198.1011,199.6084,199.5653,1.5073,1.4642

9/28/2007,9.7595,,15.141,,,,,,,164.8877,162.255,162.0289,-2.6327,-2.8588

8/31/2007,13.9551,,23.2951,,,,,,,186.8398,189.5125,189.4118,2.6727,2.572

7/31/2007,11.4688,,17.9126,,,,,,,175.9539,171.4461,170.4922,-4.5078,-5.4617

6/29/2007,5.7081,,9.8401,,,,,,,173.6988,170.8199,169.8528,-2.8789,-3.846

5/31/2007,4.9771,,8.4111,,,,,,,155.575,158.0787,161.6688,2.5037,6.0938

4/30/2007,5.4111,,9.2816,,,,,,,211.2376,218.5799,221.7427,7.3423,10.5051

3/30/2007,6.5002,,9.6776,,,,,,,216.5201,217.6889,221.4591,1.1688,4.939

2/28/2007,5.6377,,7.8644,,,,,,,172.5612,174.491,178.7106,1.9298,6.1494

1/31/2007,5.5002,,7.393,,,,,,,214.146,212.065,211.82,-2.081,-2.326

12/29/2006,5.5002,,9.0002,,,,,,,179.758,174.7678,175.0492,-4.9902,-4.7088

11/30/2006,4.4674,,7.0996,,,,,,,190.1864,185.2776,182.1457,-4.9088,-8.0407

10/31/2006,4.1303,,7.1355,,,,,,,267.2657,255.8211,244.8567,-11.4446,-22.409

9/29/2006,6.0002,,9.5002,,,,,,,288.3191,263.5758,240.1716,-24.7433,-48.1475

8/31/2006,6.0002,,9.5002,,,,,,,425.131,393.0753,358.9565,-32.0557,-66.1745

7/31/2006,6.5002,,10.0002,,,,,,,340.9515,306.468,268.1328,-34.4835,-72.8187

6/30/2006,5.6668,,9.6668,,,,,,,584.7455,538.9654,471.9022,-45.7801,-112.8433

5/31/2006,6.5002,,10.0002,,,,,,,631.5264,583.6527,526.913,-47.8737,-104.6134

4/28/2006,6.0002,,10.0002,,,,,,,386.1885,365.6538,349.9345,-20.5347,-36.254

3/31/2006,5.4168,,8.5001,,,,,,,303.325,289.3039,277.616,-14.0211,-25.709

2/28/2006,7.5002,,10.5002,,,,,,,193.053,188.792,185.177,-4.261,-7.876

1/31/2006,5.9168,,9.1668,,,,,,,248.16,242.381,239.391,-5.779,-8.769

,,,,,,,,,,201.411,194.279,182.3415,-7.132,-19.0695

,,,,,,,,,,305.496,302.6379,304.12,-2.8581,-1.376

,,,,,,,,,,158.5542,164.693,165.751,6.1388,7.1968

,,,,,,,,,,140.4622,134.597,136.8092,-5.8652,-3.653

,,,,,,,,,,139.3632,135.579,141.8402,-3.7842,2.477

,,,,,,,,,,111.3812,,108.7132,,-2.668

,,,,,,,,,,95.8502,92.7087,98.0101,-3.1414,2.16

,,,,,,,,,,182.0551,161.6164,178.2159,-20.4387,-3.8392

,,,,,,,,,,159.2632,135.2709,152.4911,-23.9923,-6.7721

,,,,,,,,,,80.6156,79.0101,81.6403,-1.6055,1.0246

,,,,,,,,,,71.3962,71.5754,72.8889,0.1792,1.4927

,,,,,,,,,,67.3935,75.421,86.8391,8.0275,19.4457

,,,,,,,,,,52.099,64.32,70.3846,12.221,18.2856

